school,loc,lat,lon
國立政治大學,[116]臺北市文山區指南路二段64號,24.9873313,121.5761281
國立清華大學,[300]新竹市東區光復路二段101號,24.7979774,120.9910396
國立臺灣大學,[106]臺北市大安區羅斯福路四段1號,25.0186348,121.5398379
國立臺灣師範大學,[106]臺北市大安區和平東路一段162號,25.0259513,121.5274888
國立成功大學,[701]臺南市東區大學路1號,22.9998842,120.2150965
國立中興大學,[402]臺中市南區興大路145號,24.1241841,120.6774165
國立交通大學,[300]新竹市東區大學路1001號,24.7859511,120.9999137
國立中央大學,[320]桃園市中壢區中大路300號,24.9684297,121.1959266
國立中山大學,[804]高雄市鼓山區蓮海路70號,22.6270179,120.2674102
國立臺灣海洋大學,[202]基隆市中正區北寧路2號,25.150192,121.781441
國立中正大學,[621]嘉義縣民雄鄉三興村7鄰大學路一段168號,23.5570464,120.478965
國立高雄師範大學,[802]高雄市苓雅區和平一路116號,22.6259166,120.3207609
國立彰化師範大學,[500]彰化縣彰化市進德路1號,24.0826667,120.5584256
國立陽明大學,[112]臺北市北投區立農街二段155號,25.1196326,121.5133357
國立臺北大學,[237]新北市三峽區大學路151號,24.9455821,121.3717858
國立嘉義大學,[600]嘉義市東區鹿寮里學府路300號,23.465364,120.4836329
國立高雄大學,[811]高雄市楠梓區高雄大學路700號,22.7344154,120.2851781
國立東華大學,[974]花蓮縣壽豐鄉志學村大學路二段1號,23.8943519,121.5433333
國立暨南國際大學,[545]南投縣埔里鎮大學路1號,23.9521647,120.9277183
國立臺北藝術大學,[112]臺北市北投區學園路1號,25.1324572,121.4693489
國立臺灣藝術大學,[220]新北市板橋區大觀路一段59號,25.0059488,121.4476306
國立臺東大學,[950]臺東縣臺東市大學路二段369號,22.7449878,121.0632406
國立宜蘭大學,[260]宜蘭縣宜蘭市神農路一段1號,24.7462018,121.7488276
國立聯合大學,[360]苗栗縣苗栗市恭敬里聯大1號,24.5458044,120.81232
國立臺南藝術大學,[720]臺南市官田區大崎里66號,23.191679,120.3954282
國立臺南大學,[700]臺南市中西區樹林街二段33號,22.9851566,120.2082213
國立臺北教育大學,[106]臺北市大安區和平東路二段134號,25.0246244,121.5446374
國立新竹教育大學,[300]新竹市東區南大路521號,24.7944654,120.9652304
國立臺中教育大學,[403]臺中市西區民生路140號,24.1421146,120.6720736
國立體育大學,[333]桃園市龜山區文化一路250號,25.0348848,121.3836827
國立金門大學,[892]金門縣金寧鄉大學路1號,24.4466572,118.3252647
國立臺灣體育運動大學,[404]臺中市北區雙十路一段16號,24.1489449,120.6874206
國立屏東大學,[900]屏東縣屏東市民生路4-18號,22.665476,120.5045457
東海大學,[407]臺中市西屯區臺灣大道四段1727號,24.1824159,120.602728
輔仁大學,[242]新北市新莊區中正路510號,25.0336491,121.433255
東吳大學,[111]臺北市士林區臨溪路70號,25.094415,121.545748
中原大學,[320]桃園市中壢區中北路200號,24.9574977,121.240539
淡江大學,[251]新北市淡水區英專路151號,25.1731385,121.4483442
中國文化大學,[111]臺北市士林區華岡路55號,25.1377176,121.5410056
逢甲大學,[407]臺中市西屯區文華路100號,24.178693,120.64674
靜宜大學,[433]臺中市沙鹿區臺灣大道7段200號,24.2263848,120.5797081
長庚大學,[333]桃園市龜山區文化一路259號,25.0334238,121.3874884
元智大學,[320]桃園市中壢區遠東路135號,24.9701475,121.263482
中華大學,[300]新竹市香山區東香里五福路二段707號,24.7569467,120.9526109
大葉大學,[515]彰化縣大村鄉學府路168號,23.9992038,120.5947144
華梵大學,[223]新北市石碇區華梵路1號,24.9743807,121.6892874
義守大學,[840]高雄市大樹區三和里學城路一段1號,22.7296392,120.4069259
世新大學,[116]臺北市文山區木柵路一段17巷1號,24.9884933,121.5425268
銘傳大學,[111]臺北市士林區中山北路五段250號,25.0860676,121.5275514
實踐大學,[104]臺北市中山區大直街70號,25.0858404,121.5456131
高雄醫學大學,[807]高雄市三民區十全一路100號,22.6453863,120.3102147
南華大學,[622]嘉義縣大林鎮南華路一段55號,23.5693126,120.4943064
真理大學,[251]新北市淡水區真理街32號,25.1755872,121.4346021
大同大學,[104]臺北市中山區中山北路三段40號,25.0671544,121.521804
慈濟大學,[970]花蓮縣花蓮市中央路三段701號,23.9928935,121.5912413
臺北醫學大學,[110]臺北市信義區吳興街250號,25.0259514,121.5612671
中山醫學大學,[402]臺中市南區建國北路一段110號,24.1218043,120.6516971
長榮大學,[711]臺南市歸仁區長大路1號,22.907836,120.2733366
中國醫藥大學,[404]臺中市北區學士路91號,24.155899,120.681125
玄奘大學,[300]新竹市香山區東香里玄奘路48號,24.7743721,120.9432734
亞洲大學,[413]臺中市霧峰區柳豐路500號,24.043676,120.6885757
開南大學,[338]桃園市蘆竹區開南路1號,25.0113673,121.270208
佛光大學,[262]宜蘭縣礁溪鄉林美村林尾路160號,24.8162257,121.7220999
明道大學,[523]彰化縣埤頭鄉文化路369號,23.8693433,120.4947373
台灣首府大學,[721]臺南市麻豆區南勢168號,23.181498,120.261668
康寧大學,[114]臺北市內湖區康寧路三段75巷137號,25.0751696,121.609939
臺北市立大學,[100]臺北市中正區愛國西路1號,25.0356043,121.5142953
中信?融管?學院,[709]臺南市安南區臺江大道三段600號,23.0639886,120.1630074
稻江科技暨管理學院,[613]嘉義縣朴子市學府路二段51號,23.4488003,120.2897636
馬偕醫學院,[252]新北市三芝區中正路三段46號,25.2527476,121.5022973
法鼓文理學院,[208]新北市金山區法鼓路700號,25.2441256,121.6077681
